,id,name,stable,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
20,01129,高橋義忠,栗東,11,6,9,64,5,2,22,2,63,7,30,4,51,6,0.122,0.189,0.289,27484.7
21,00422,五十嵐忠男,栗東,11,6,9,61,4,0,22,5,61,6,29,6,55,4,0.126,0.195,0.299,16189.8
22,00399,国枝栄,美浦,10,15,11,71,9,3,33,1,65,6,75,9,29,1,0.093,0.234,0.336,41764.5
23,01073,宮本博,栗東,10,8,10,66,5,1,23,3,66,6,60,7,30,3,0.106,0.191,0.298,24075.7
24,01087,庄野靖志,栗東,10,5,8,52,10,2,14,1,51,7,37,4,36,6,0.133,0.2,0.307,32123.4
25,01140,石橋守,栗東,10,5,8,57,0,0,7,2,73,8,33,5,47,5,0.125,0.188,0.288,11306.0
26,01121,角田晃一,栗東,10,4,2,71,4,0,29,3,54,7,40,5,45,4,0.115,0.161,0.184,13389.7
27,01017,萩原清,美浦,10,3,9,48,5,0,17,1,48,9,27,4,41,6,0.143,0.186,0.314,14382.8
28,01039,中竹和也,栗東,10,2,3,89,3,0,29,4,72,6,28,0,66,7,0.096,0.115,0.144,15226.7
29,01052,菊川正達,美浦,10,1,6,66,1,0,24,1,58,9,43,6,36,4,0.12,0.133,0.205,9792.3
30,01071,池江泰寿,栗東,9,12,13,64,18,0,22,3,58,6,71,7,25,2,0.092,0.214,0.347,38064.1
31,01038,手塚貴久,美浦,9,10,9,68,12,1,26,3,58,5,56,6,40,3,0.094,0.198,0.292,26698.8
32,01044,昆貢,栗東,9,10,5,36,6,2,10,1,44,6,26,4,33,5,0.15,0.317,0.4,24093.0
33,00420,宗像義忠,美浦,9,9,5,79,1,1,24,2,77,6,47,4,51,5,0.088,0.176,0.225,15971.9
34,01099,本田優,栗東,9,8,4,98,8,1,35,2,76,6,57,4,61,5,0.076,0.143,0.176,14202.0
35,01149,松下武士,栗東,9,6,7,88,3,0,14,2,93,7,31,0,77,9,0.082,0.136,0.2,14486.2
36,00386,藤沢和雄,美浦,9,5,14,46,12,1,22,2,40,6,47,6,20,3,0.122,0.189,0.378,23224.4
37,01115,菊沢隆徳,美浦,9,5,7,57,8,0,14,2,56,7,34,2,44,7,0.115,0.179,0.269,20244.9
