,id,name,win_count,second_place_count,third_place_count,unplaced_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,in_second_place_ratio,in_third_place_ratio,prize
117,o_4kanJTTEFkM,平井裕,0,7,1,19,0,0,5,0,22,0,8,0,17,0,0.0,0.259,0.296,4049.2
118,o_0keVdXTEFUe,宮川純造,3,2,2,11,0,0,3,1,15,2,4,0,14,3,0.167,0.278,0.389,4007.8
119,o_0EVJBTTEFEN,山本英俊,2,1,3,19,4,0,6,0,15,2,14,1,9,1,0.08,0.12,0.24,4000.0
120,o_8EVRBTTE10d,加藤誠,3,1,2,16,0,0,4,1,18,2,3,0,19,3,0.136,0.182,0.273,3987.2
121,o_0EVjNTTE1ke,宮本昇,1,3,1,1,1,0,3,1,2,0,6,1,0,0,0.167,0.667,0.833,3984.4
122,o_8ERVpXTEFUe,松本俊廣,1,3,1,10,1,0,3,0,11,1,6,0,9,1,0.067,0.267,0.333,3871.4
123,o_4kanBTTE10d,岡田壮史,1,3,1,26,0,0,8,0,23,1,11,0,8,0,0.032,0.129,0.161,3822.3
124,o_4EVVp3TEF0d,広尾レース,2,3,1,24,0,0,6,0,24,2,15,1,12,1,0.067,0.167,0.2,3811.6
125,o_0kaZFTTE1ke,大野剛嗣,2,1,0,2,1,0,2,2,2,0,1,0,4,2,0.4,0.6,0.6,3808.6
126,o_8EVBJTTE1ke,小笹芳央,3,1,2,16,1,0,4,1,17,2,14,1,8,2,0.136,0.182,0.273,3806.8
127,o_0kerRTTE10d,保坂和孝,3,2,1,15,2,0,1,1,18,2,9,3,11,0,0.143,0.238,0.286,3805.9
128,o_0kejlXTEFUe,菊池五郎,2,5,2,15,0,0,1,0,23,2,1,0,23,2,0.083,0.292,0.375,3774.4
129,o_0ERFFTTEFEN,青山洋一,2,1,2,17,1,0,7,1,14,1,8,1,14,1,0.091,0.136,0.227,3717.7
130,o_0keFh3TEF0d,桂土地,2,0,1,1,2,0,1,1,1,1,3,1,1,1,0.5,0.5,0.75,3690.5
131,o_0EVJVTTEFUM,桐谷茂,2,3,3,29,0,0,10,0,27,2,1,0,36,2,0.054,0.135,0.216,3676.6
132,o_4keZdXTEFEN,岡田繁幸,3,0,0,10,0,0,5,1,8,2,5,2,8,1,0.231,0.231,0.231,3673.7
133,o_0ERNdXTEl1d,Ｈ．Ｈ．シェイク・ファハド,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1.0,1.0,1.0,3658.8
