,id,name,race_horse_count,win_horse_count,race_count,win_count,grade_race_count,grade_race_win,stakes_race_count,stakes_race_win,general_race_count,general_race_win,turf_race_count,turf_race_win,dart_race_count,dart_race_win,win_ratio,earning_index,avg_turf_distance,avg_dart_distance
351,000a010541,アルデバランＩＩ,1,1,3,1,0,0,0,0,3,1,0,0,3,1,1.0,2.2,0.0,1700.0
352,1992190011,ピルサドスキー,5,1,8,1,0,0,0,0,8,1,5,1,3,0,0.2,0.44,1200.0,0.0
353,000a00fe8f,ムーンバラッド,5,1,9,1,0,0,3,0,6,1,5,1,4,0,0.2,0.44,1200.0,0.0
354,000a001bdb,Danzig Connection,2,0,5,0,0,0,1,0,4,0,0,0,5,0,0.0,1.07,0.0,0.0
355,000a010748,Successful Appeal,1,1,4,1,0,0,1,0,3,1,0,0,4,1,1.0,2.14,0.0,1400.0
356,000a010eaa,スニッツェル,2,1,5,1,1,0,1,0,3,1,3,1,2,0,0.5,1.06,1600.0,0.0
357,000a000d55,クリエイター,2,0,6,0,1,0,1,0,4,0,1,0,3,0,0.0,1.05,0.0,0.0
358,000a001a8f,Devil's Bag,5,0,14,0,0,0,2,0,12,0,5,0,9,0,0.0,0.42,0.0,0.0
359,000a0111b5,Footstepsinthesand,2,0,6,0,0,0,0,0,6,0,5,0,1,0,0.0,1.04,0.0,0.0
360,000a010c91,Motivator,2,1,3,1,0,0,1,0,2,1,1,0,2,1,0.5,1.02,0.0,1400.0
361,000a00031e,サザンヘイロー,9,1,16,1,1,0,1,0,14,1,1,0,15,1,0.111,0.23,0.0,1400.0
362,000a000d9a,ストローズクリーク,1,1,2,1,0,0,0,0,2,1,0,0,2,1,1.0,2.04,0.0,1200.0
363,000a0114b8,Manduro,1,1,3,1,0,0,0,0,3,1,3,1,0,0,1.0,1.98,1400.0,0.0
364,000a0119ba,Rossini,3,0,7,0,0,0,0,0,7,0,5,0,2,0,0.0,0.66,0.0,0.0
365,000a00fdab,アラムシャー,1,1,2,1,0,0,0,0,2,1,2,1,0,0,1.0,1.92,1200.0,0.0
366,1997106560,スターリングローズ,8,1,17,1,0,0,1,0,16,1,3,0,12,1,0.125,0.24,0.0,1400.0
367,000a001e3e,Geiger Counter,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.0,1.9,0.0,0.0
368,000a001cd4,In the Wings,2,0,4,0,0,0,0,0,4,0,4,0,0,0,0.0,0.94,0.0,0.0
369,000a001beb,Woodman,10,0,25,0,0,0,4,0,21,0,15,0,10,0,0.0,0.19,0.0,0.0
370,000a011252,Pure Prize,4,0,9,0,0,0,2,0,7,0,5,0,4,0,0.0,0.46,0.0,0.0
371,000a002241,Ski Champ,1,0,4,0,0,0,0,0,4,0,0,0,4,0,0.0,1.82,0.0,0.0
372,000a001f36,Boundary,4,0,10,0,0,0,0,0,10,0,0,0,10,0,0.0,0.44,0.0,0.0
373,000a002075,Halling,8,0,17,0,0,0,2,0,15,0,7,0,10,0,0.0,0.22,0.0,0.0
374,000a010a66,Sky Mesa,5,0,10,0,0,0,2,0,8,0,4,0,6,0,0.0,0.35,0.0,0.0
375,000a0021b5,Deputy Commander,3,0,9,0,0,0,6,0,3,0,0,0,9,0,0.0,0.57,0.0,0.0
376,1988109110,ミシル,4,0,8,0,0,0,1,0,7,0,6,0,2,0,0.0,0.43,0.0,0.0
377,2000101586,ムーンロケット,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0.0,1.7,0.0,0.0
378,000a001bd5,Bering,3,0,7,0,0,0,0,0,7,0,2,0,5,0,0.0,0.55,0.0,0.0
379,000a001be4,Kendor,4,0,11,0,0,0,5,0,6,0,8,0,3,0,0.0,0.4,0.0,0.0
380,1981107017,シンボリルドルフ,4,0,7,0,0,0,0,0,7,0,2,0,2,0,0.0,0.4,0.0,0.0
381,1980106362,ニホンピロウイナー,10,0,21,0,0,0,1,0,20,0,8,0,12,0,0.0,0.16,0.0,0.0
382,000a0101a0,Broken Vow,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1.0,1.57,1800.0,0.0
383,000a0104d9,Hussonet,3,1,6,1,0,0,0,0,6,1,4,0,2,1,0.333,0.52,0.0,2000.0
384,000a011132,Southern Image,1,1,2,1,0,0,0,0,2,1,1,0,1,1,1.0,1.57,0.0,1800.0
385,000a0000c0,クリスタルグリッターズ,3,1,6,1,0,0,3,0,3,1,1,0,5,1,0.333,0.52,0.0,1200.0
386,1994109494,スピードワールド,1,1,5,1,0,0,1,0,4,1,3,0,2,1,1.0,1.57,0.0,1800.0
387,000a00208f,Catrail,2,0,5,0,0,0,1,0,4,0,3,0,2,0,0.0,0.77,0.0,0.0
388,000a001e7a,Glitterman,1,0,4,0,0,0,0,0,4,0,3,0,1,0,0.0,1.54,0.0,0.0
389,2001190004,バゴ,7,0,16,0,0,0,0,0,16,0,2,0,14,0,0.0,0.22,0.0,0.0
390,1998110056,モルフェデスペクタ,2,0,4,0,0,0,1,0,3,0,3,0,1,0,0.0,0.77,0.0,0.0
391,000a00fa4b,Tiznow,5,0,16,0,0,0,0,0,16,0,5,0,11,0,0.0,0.3,0.0,0.0
392,1997103400,アグネスフライト,3,0,9,0,0,0,0,0,9,0,5,0,4,0,0.0,0.5,0.0,0.0
393,000a0019b1,Darshaan,7,0,10,0,0,0,1,0,9,0,7,0,3,0,0.0,0.21,0.0,0.0
394,2001100650,メイショウボーラー,2,0,5,0,1,0,0,0,4,0,3,0,2,0,0.0,0.74,0.0,0.0
395,000a012054,Country Reel,2,0,6,0,0,0,0,0,6,0,3,0,3,0,0.0,0.71,0.0,0.0
